Time (sec),Proposed,DA,COA,PSO,GA
15540,194223,192223,191223,188446,186446
15560,194222,192222,191222,188444,186444
15580,194221,192221,191221,188442,186442
15600,194220,192220,191220,188440,186440
15620,194219,192219,191219,188438,186438
15640,194218,192218,191218,188436,186436
15660,194217,192217,191217,188434,186434
15680,194216,192216,191216,188432,186432
15700,194215,192215,191215,188430,186430
15720,194214,192214,191214,188428,186428
15740,194213,192213,191213,188426,186426
15760,194212,192212,191212,188424,186424
15780,194211,192211,191211,188422,186422
15800,194210,192210,191210,188420,186420
15820,194209,192209,191209,188418,186418
15840,194208,192208,191208,188416,186416
15860,194207,192207,191207,188414,186414
15880,194206,192206,191206,188412,186412
15900,194205,192205,191205,188410,186410
15920,194204,192204,191204,188408,186408
15940,194203,192203,191203,188406,186406
15960,194202,192202,191202,188404,186404
15980,194201,192201,191201,188402,186402
16000,194200,192200,191200,188400,186400
16020,194199,192199,191199,188398,186398
16040,194198,192198,191198,188396,186396
16060,194197,192197,191197,188394,186394
16080,194196,192196,191196,188392,186392
16100,194195,192195,191195,188390,186390
16120,194194,192194,191194,188388,186388
16140,194193,192193,191193,188386,186386
16160,194192,192192,191192,188384,186384
16180,194191,192191,191191,188382,186382
16200,194190,192190,191190,188380,186380
16220,194189,192189,191189,188378,186378
16240,194188,192188,191188,188376,186376
16260,194187,192187,191187,188374,186374
16280,194186,192186,191186,188372,186372
16300,194185,192185,191185,188370,186370
16320,194184,192184,191184,188368,186368
16340,194183,192183,191183,188366,186366
16360,194182,192182,191182,188364,186364
16380,194181,192181,191181,188362,186362
16400,194180,192180,191180,188360,186360
16420,194179,192179,191179,188358,186358
16440,194178,192178,191178,188356,186356
16460,194177,192177,191177,188354,186354
16480,194176,192176,191176,188352,186352
16500,194175,192175,191175,188350,186350
16520,194174,192174,191174,188348,186348
16540,194173,192173,191173,188346,186346
16560,194172,192172,191172,188344,186344
16580,194171,192171,191171,188342,186342
16600,194170,192170,191170,188340,186340
16620,194169,192169,191169,188338,186338
16640,194168,192168,191168,188336,186336
16660,194167,192167,191167,188334,186334
16680,194166,192166,191166,188332,186332
16700,194165,192165,191165,188330,186330
16720,194164,192164,191164,188328,186328
16740,194163,192163,191163,188326,186326
16760,194162,192162,191162,188324,186324
16780,194161,192161,191161,188322,186322
16800,194160,192160,191160,188320,186320
16820,194159,192159,191159,188318,186318
16840,194158,192158,191158,188316,186316
16860,194157,192157,191157,188314,186314
16880,194156,192156,191156,188312,186312
16900,194155,192155,191155,188310,186310
16920,194154,192154,191154,188308,186308
16940,194153,192153,191153,188306,186306
16960,194152,192152,191152,188304,186304
16980,194151,192151,191151,188302,186302
17000,194150,192150,191150,188300,186300
17020,194149,192149,191149,188298,186298
17040,194148,192148,191148,188296,186296
17060,194147,192147,191147,188294,186294
17080,194146,192146,191146,188292,186292
17100,194145,192145,191145,188290,186290
17120,194144,192144,191144,188288,186288
17140,194143,192143,191143,188286,186286
17160,194142,192142,191142,188284,186284
17180,194141,192141,191141,188282,186282
17200,194140,192140,191140,188280,186280
17220,194139,192139,191139,188278,186278
17240,194138,192138,191138,188276,186276
17260,194137,192137,191137,188274,186274
17280,194136,192136,191136,188272,186272
17300,194135,192135,191135,188270,186270
17320,194134,192134,191134,188268,186268
17340,194133,192133,191133,188266,186266
17360,194132,192132,191132,188264,186264
17380,194131,192131,191131,188262,186262
17400,194130,192130,191130,188260,186260
17420,194129,192129,191129,188258,186258
17440,194128,192128,191128,188256,186256
17460,194127,192127,191127,188254,186254
17480,194126,192126,191126,188252,186252
17500,194125,192125,191125,188250,186250
17520,194124,192124,191124,188248,186248
17540,194123,192123,191123,188246,186246
17560,194122,192122,191122,188244,186244
17580,194121,192121,191121,188242,186242
17600,194120,192120,191120,188240,186240
17620,194119,192119,191119,188238,186238
17640,194118,192118,191118,188236,186236
17660,194117,192117,191117,188234,186234
17680,194116,192116,191116,188232,186232
17700,194115,192115,191115,188230,186230
17720,194114,192114,191114,188228,186228
17740,194113,192113,191113,188226,186226
17760,194112,192112,191112,188224,186224
17780,194111,192111,191111,188222,186222
17800,194110,192110,191110,188220,186220
17820,194109,192109,191109,188218,186218
17840,194108,192108,191108,188216,186216
17860,194107,192107,191107,188214,186214
17880,194106,192106,191106,188212,186212
17900,194105,192105,191105,188210,186210
17920,194104,192104,191104,188208,186208
17940,194103,192103,191103,188206,186206
17960,194102,192102,191102,188204,186204
17980,194101,192101,191101,188202,186202
18000,194100,192100,191100,188200,186200
18020,194099,192099,191099,188198,186198
18040,194098,192098,191098,188196,186196
18060,194097,192097,191097,188194,186194
18080,194096,192096,191096,188192,186192
18100,194095,192095,191095,188190,186190
18120,194094,192094,191094,188188,186188
18140,194093,192093,191093,188186,186186
18160,194092,192092,191092,188184,186184
18180,194091,192091,191091,188182,186182
18200,194090,192090,191090,188180,186180
18220,194089,192089,191089,188178,186178
18240,194088,192088,191088,188176,186176
18260,194087,192087,191087,188174,186174
18280,194086,192086,191086,188172,186172
18300,194085,192085,191085,188170,186170
18320,194084,192084,191084,188168,186168
18340,194083,192083,191083,188166,186166
18360,194082,192082,191082,188164,186164
18380,194081,192081,191081,188162,186162
18400,194080,192080,191080,188160,186160
18420,194079,192079,191079,188158,186158
18440,194078,192078,191078,188156,186156
18460,194077,192077,191077,188154,186154
18480,194076,192076,191076,188152,186152
18500,194075,192075,191075,188150,186150
18520,194074,192074,191074,188148,186148
18540,194073,192073,191073,188146,186146
18560,194072,192072,191072,188144,186144
18580,194071,192071,191071,188142,186142
18600,194070,192070,191070,188140,186140
18620,194069,192069,191069,188138,186138
18640,194068,192068,191068,188136,186136
18660,194067,192067,191067,188134,186134
18680,194066,192066,191066,188132,186132
18700,194065,192065,191065,188130,186130
18720,194064,192064,191064,188128,186128
18740,194063,192063,191063,188126,186126
18760,194062,192062,191062,188124,186124
18780,194061,192061,191061,188122,186122
18800,194060,192060,191060,188120,186120
18820,194059,192059,191059,188118,186118
18840,194058,192058,191058,188116,186116
18860,194057,192057,191057,188114,186114
18880,194056,192056,191056,188112,186112
18900,194055,192055,191055,188110,186110
18920,194054,192054,191054,188108,186108
18940,194053,192053,191053,188106,186106
18960,194052,192052,191052,188104,186104
18980,194051,192051,191051,188102,186102
19000,194050,192050,191050,188100,186100
19020,194049,192049,191049,188098,186098
19040,194048,192048,191048,188096,186096
19060,194047,192047,191047,188094,186094
19080,194046,192046,191046,188092,186092
19100,194045,192045,191045,188090,186090
19120,194044,192044,191044,188088,186088
19140,194043,192043,191043,188086,186086
19160,194042,192042,191042,188084,186084
19180,194041,192041,191041,188082,186082
19200,194040,192040,191040,188080,186080
19220,194039,192039,191039,188078,186078
19240,194038,192038,191038,188076,186076
19260,194037,192037,191037,188074,186074
19280,194036,192036,191036,188072,186072
19300,194035,192035,191035,188070,186070
19320,194034,192034,191034,188068,186068
19340,194033,192033,191033,188066,186066
19360,194032,192032,191032,188064,186064
19380,194031,192031,191031,188062,186062
19400,194030,192030,191030,188060,186060
19420,194029,192029,191029,188058,186058
19440,194028,192028,191028,188056,186056
19460,194027,192027,191027,188054,186054
19480,194026,192026,191026,188052,186052
19500,194025,192025,191025,188050,186050
19520,194024,192024,191024,188048,186048
19540,194023,192023,191023,188046,186046
19560,194022,192022,191022,188044,186044
19580,194021,192021,191021,188042,186042
19600,194020,192020,191020,188040,186040
19620,194019,192019,191019,188038,186038
19640,194018,192018,191018,188036,186036
19660,194017,192017,191017,188034,186034
19680,194016,192016,191016,188032,186032
19700,194015,192015,191015,188030,186030
19720,194014,192014,191014,188028,186028
19740,194013,192013,191013,188026,186026
19760,194012,192012,191012,188024,186024
19780,194011,192011,191011,188022,186022
19800,194010,192010,191010,188020,186020
19820,194009,192009,191009,188018,186018
19840,194008,192008,191008,188016,186016
19860,194007,192007,191007,188014,186014
19880,194006,192006,191006,188012,186012
19900,194005,192005,191005,188010,186010
19920,194004,192004,191004,188008,186008
19940,194003,192003,191003,188006,186006
19960,194002,192002,191002,188004,186004
19980,194001,192001,191001,188002,186002
